"","Panstwo","Kod","PKB","Populacja","Przyrost_populacji","Country_Code","Region","Urbanizacja_proc.","Internet_proc.","Populacja_mln","PKB_per_capita"
"91","Kiribati","KIR",181551485,114395,1.75,"KIR","East Asia & Pacific",44.447,74.59,0.114395,1587.05786966214
"92","St. Kitts and Nevis","KNA",909854620,54821,0.98,"KNA","Latin America & Caribbean",32.153,45.4,0.054821,16596.8263986429
"93","Korea, Rep.","KOR",1.41e+12,51245707,0.45,"KOR","East Asia & Pacific",82.592,26,51.245707,27514.4998975231
"94","Kuwait","KWT",1.11e+11,4052584,2.92,"KWT","Middle East & North Africa",98.358,32.4,4.052584,27389.9319545258
"95","Lao PDR","LAO",15805707154,6758353,1.41,"LAO","East Asia & Pacific",39.654,76.82,6.758353,2338.69215680211
"96","Lebanon","LBN",49598825982,6006668,2.62,"LBN","Middle East & North Africa",87.914,78.37,6.006668,8257.29439050069
"97","Liberia","LBR",2.101e+09,4613823,2.51,"LBR","Sub-Saharan Africa",50.1,76.11,4.613823,455.370741357005
"98","St. Lucia","LCA",1667078704,178015,0.46,"LCA","Latin America & Caribbean",18.54,80.48,0.178015,9364.82152627587
"99","Sri Lanka","LKA",81321876307,21203000,1.12,"LKA","South Asia",18.407,28,21.203,3835.39481710135
"100","Lesotho","LSO",2291321667,2203821,1.33,"LSO","Sub-Saharan Africa",27.84,21.87,2.203821,1039.70407170092
"101","Lithuania","LTU",42738875963,2872298,-1.13,"LTU","Europe & Central Asia",66.512,7.32,2.872298,14879.6802988409
"102","Luxembourg","LUX",58631324559,582972,2.32,"LUX","Europe & Central Asia",90.432,46.73,0.582972,100573.139977563
"103","Latvia","LVA",27572698482,1960424,-0.87,"LVA","Europe & Central Asia",67.361,92.84,1.960424,14064.660747879
"104","Macao SAR, China","MAC",45310877913,612167,1.85,"MAC","East Asia & Pacific",100,32.05,0.612167,74017.1847110347
"105","Morocco","MAR",1.04e+11,35276786,1.35,"MAR","Middle East & North Africa",60.685,69.88,35.276786,2948.11437753995
"106","Moldova","MDA",6749515655,3552000,-0.06,"MDA","Europe & Central Asia",45.089,11.11,3.552,1900.2014794482
"107","Madagascar","MDG",10001193420,24894551,2.69,"MDG","Sub-Saharan Africa",35.741,74.38,24.894551,401.742269623581
"108","Maldives","MDV",4224209599,417492,2.02,"MDV","South Asia",46.54,81.64,0.417492,10118.0611820107
"109","Mexico","MEX",1.05e+12,127540423,1.3,"MEX","Latin America & Caribbean",79.517,29.79,127.540423,8232.68400168314
"110","Marshall Islands","MHL",194497900,53066,0.14,"MHL","East Asia & Pacific",72.94,4.71,0.053066,3665.20747748087
"111","Macedonia, FYR","MKD",10899583155,2081206,0.09,"MKD","Europe & Central Asia",57.204,27.36,2.081206,5237.14767062943
"112","Mali","MLI",14034980334,17994837,2.97,"MLI","Sub-Saharan Africa",40.683,58.27,17.994837,779.944843846043
"113","Malta","MLT",10999047580,436947,1.17,"MLT","Middle East & North Africa",95.529,71,0.436947,25172.498220608
"114","Myanmar","MMR",63225097051,52885223,0.91,"MMR","East Asia & Pacific",34.65,50,52.885223,1195.51537205393
"115","Montenegro","MNE",4374127212,622781,0.1,"MNE","Europe & Central Asia",64.223,25.07,0.622781,7023.53991531534
"116","Mongolia","MNG",11183458131,3027398,1.68,"MNG","East Asia & Pacific",72.823,77.29,3.027398,3694.08255240969
"117","Northern Mariana Islands","MNP",1.242e+09,55023,0.38,"MNP","East Asia & Pacific",89.209,24.57,0.055023,22572.3788234011
"118","Mozambique","MOZ",11014858592,28829476,2.88,"MOZ","Sub-Saharan Africa",32.508,22.27,28.829476,382.069330431118
"119","Mauritania","MRT",4739298730,4301018,2.8,"MRT","Sub-Saharan Africa",60.446,59.09,4.301018,1101.90162654516
"120","Mauritius","MUS",12168437744,1263473,0.07,"MUS","Sub-Saharan Africa",39.548,59.54,1.263473,9630.94402808766
"121","Malawi","MWI",5433038647,18091575,2.9,"MWI","Sub-Saharan Africa",16.454,98.14,18.091575,300.307665142477
"122","Malaysia","MYS",2.97e+11,31187265,1.5,"MYS","East Asia & Pacific",75.37,79.84,31.187265,9523.11784954532
"123","Namibia","NAM",10947880690,2479713,2.21,"NAM","Sub-Saharan Africa",47.625,17.52,2.479713,4414.97894716042
"124","Nigeria","NGA",4.05e+11,185989640,2.62,"NGA","Sub-Saharan Africa",48.597,25.67,185.98964,2177.540641511
"125","Nicaragua","NIC",13230844687,6149928,1.11,"NIC","Latin America & Caribbean",59.107,31.03,6.149928,2151.38204658656
"126","Netherlands","NLD",7.77e+11,17018408,0.46,"NLD","Europe & Central Asia",91.032,9.61,17.018408,45656.4444805883
"127","Norway","NOR",3.71e+11,5232929,0.85,"NOR","Europe & Central Asia",80.734,90.41,5.232929,70897.1973439731
"128","Nepal","NPL",21131983246,28982771,1.13,"NPL","South Asia",18.995,52.19,28.982771,729.122251492102
"129","Nauru","NRU",102060130,13049,4.5,"NRU","East Asia & Pacific",100,18,0.013049,7821.29895011112
"130","New Zealand","NZL",1.85e+11,4692700,2.09,"NZL","East Asia & Pacific",86.322,78.79,4.6927,39422.9334924457
"131","Oman","OMN",66293368010,4424762,5.22,"OMN","Middle East & North Africa",78.088,97.3,4.424762,14982.3579234318
"132","Pakistan","PAK",2.79e+11,193203476,2,"PAK","South Asia",39.224,19.69,193.203476,1444.07339752003
"133","Panama","PAN",55187700000,4034119,1.62,"PAN","Latin America & Caribbean",66.895,88.47,4.034119,13680.23600692
"134","Peru","PER",1.92e+11,31773839,1.26,"PER","Latin America & Caribbean",78.924,54,31.773839,6042.70702070342
"135","Philippines","PHL",3.05e+11,103320222,1.56,"PHL","East Asia & Pacific",44.289,45.46,103.320222,2951.98746282214
"136","Palau","PLW",310248300,21503,1,"PLW","East Asia & Pacific",87.636,NA,0.021503,14428.1402594987
"137","Papua New Guinea","PNG",20213214172,8084991,2.06,"PNG","East Asia & Pacific",13.039,69.93,8.084991,2500.09111599506
"138","Poland","POL",4.71e+11,37948016,-0.1,"POL","Europe & Central Asia",60.531,55.5,37.948016,12411.7160696886
"139","Portugal","PRT",2.05e+11,10324611,-0.32,"PRT","Europe & Central Asia",64.017,NA,10.324611,19855.4696152717
"140","Paraguay","PRY",27424071383,6725308,1.29,"PRY","Latin America & Caribbean",59.924,15.51,6.725308,4077.74207263073
"141","West Bank and Gaza","PSE",13397100000,4551566,2.88,"PSE","Middle East & North Africa",75.481,24.58,4.551566,2943.4045337363
"142","Qatar","QAT",1.52e+11,2569804,3.5,"QAT","Middle East & North Africa",99.317,9.6,2.569804,59148.479806242
"143","Romania","ROU",1.88e+11,19705301,-0.56,"ROU","Europe & Central Asia",54.749,73.3,19.705301,9540.57996881144
"144","Russian Federation","RUS",1.28e+12,144342396,0.17,"RUS","Europe & Central Asia",74.101,70.42,144.342396,8867.80346919002
"145","Rwanda","RWA",8376048905,11917508,2.45,"RWA","Sub-Saharan Africa",29.775,51.35,11.917508,702.835601620741
"146","Saudi Arabia","SAU",6.46e+11,32275687,2.25,"SAU","Middle East & North Africa",83.331,73.09,32.275687,20015.0658295825
"147","Sudan","SDN",95584380032,39578828,2.38,"SDN","Sub-Saharan Africa",34.007,89.65,39.578828,2415.03816212041
"148","Senegal","SEN",14683697631,15411614,2.86,"SEN","Sub-Saharan Africa",44.065,20,15.411614,952.768323356658
"149","Singapore","SGP",2.97e+11,5607283,1.3,"SGP","East Asia & Pacific",100,81,5.607283,52966.8290328846
"150","Solomon Islands","SLB",1202125000,599419,2.01,"SLB","East Asia & Pacific",22.779,29,0.599419,2005.48364332796
"151","Sierra Leone","SLE",3736588554,7396190,2.18,"SLE","Sub-Saharan Africa",40.318,25.66,7.39619,505.204511241599
"152","El Salvador","SLV",26797470000,6344722,0.51,"SLV","Latin America & Caribbean",67.189,80.56,6.344722,4223.58457943469
"153","San Marino","SMR",1590707965,33203,0.73,"SMR","Europe & Central Asia",94.216,59.5,0.033203,47908.5614251724
"154","Somalia","SOM",6.217e+09,14317996,2.9,"SOM","Sub-Saharan Africa",40.03,NA,14.317996,434.208809668616
"155","Serbia","SRB",38299854688,7057412,-0.54,"SRB","Europe & Central Asia",55.668,73.75,7.057412,5426.8979461593
"156","Sao Tome and Principe","STP",342781716,199910,2.2,NA,NA,NA,NA,0.19991,1714.68018608374
"157","Suriname","SUR",3278425328,558368,0.93,"SUR","Latin America & Caribbean",66.015,28.57,0.558368,5871.44200240702
"158","Slovak Republic","SVK",89768598023,5428704,0.09,"SVK","Europe & Central Asia",53.468,11,5.428704,16535.9168639513
"159","Slovenia","SVN",44708598649,2064845,0.06,"SVN","Europe & Central Asia",49.627,11.77,2.064845,21652.2783303347
"160","Sweden","SWE",5.14e+11,9903122,1.06,"SWE","Europe & Central Asia",85.964,5,9.903122,51902.8241800919
"161","Swaziland","SWZ",3720649375,1343098,1.81,"SWZ","Sub-Saharan Africa",21.315,56.51,1.343098,2770.19947539197
"162","Seychelles","SYC",1427323889,94677,1.34,"SYC","Sub-Saharan Africa",54.214,28,0.094677,15075.7194355546
"163","Chad","TCD",9600761474,14452543,3.11,"TCD","Sub-Saharan Africa",22.618,25,14.452543,664.295651913992
"164","Togo","TGO",4399995987,7606374,2.52,"TGO","Sub-Saharan Africa",40.463,39.95,7.606374,578.461693705831
"165","Thailand","THA",4.07e+11,68863514,0.3,"THA","East Asia & Pacific",51.54,17.99,68.863514,5910.24152499682
"166","Tajikistan","TJK",6951657159,8734951,2.16,"TJK","Europe & Central Asia",26.891,47.5,8.734951,795.843864378861
"167","Turkmenistan","TKM",36179885714,5662544,1.73,"TKM","Europe & Central Asia",50.396,13,5.662544,6389.33414274573
"168","Timor-Leste","TLS",1782974000,1268671,2.21,"TLS","East Asia & Pacific",33.401,25.25,1.268671,1405.3872122875
"169","Tonga","TON",401562006,107122,0.71,"TON","East Asia & Pacific",23.801,73.3,0.107122,3748.6417916021
"170","Trinidad and Tobago","TTO",21894706041,1364962,0.36,"TTO","Latin America & Caribbean",8.352,49.6,1.364962,16040.5242351069
"171","Tunisia","TUN",42062549395,11403248,1.14,"TUN","Middle East & North Africa",67.047,58.35,11.403248,3688.64637469956
"172","Turkey","TUR",8.64e+11,79512426,1.57,"TUR","Europe & Central Asia",73.887,46.01,79.512426,10866.2261166575
"173","Tuvalu","TUV",34218878,11097,0.87,"TUV","East Asia & Pacific",60.62,21.88,0.011097,3083.61521131837
"174","Tanzania","TZA",47340071107,55572201,3.09,"TZA","Sub-Saharan Africa",32.316,20.47,55.572201,851.866045525172
"175","Uganda","UGA",24078931933,41487965,3.29,"UGA","Sub-Saharan Africa",16.444,52.48,41.487965,580.383538527378
"176","Ukraine","UKR",93270479389,45004645,-0.33,"UKR","Europe & Central Asia",69.915,66.4,45.004645,2072.4633954784
"177","Uruguay","URY",52419720714,3444006,0.36,"URY","Latin America & Caribbean",95.46,46.5,3.444006,15220.5660251463
"178","United States","USA",1.86e+13,323127513,0.69,"USA","North America",81.788,55.57,323.127513,57562.4149962123
"179","Uzbekistan","UZB",67220335570,31848200,1.74,"UZB","Europe & Central Asia",36.479,24,31.8482,2110.64787240723
"180","St. Vincent and the Grenadines","VCT",768224227,109643,0.17,"VCT","Latin America & Caribbean",50.899,75.5,0.109643,7006.59619857173
"181","Vietnam","VNM",2.05e+11,92701100,1.07,"VNM","East Asia & Pacific",34.236,NA,92.7011,2211.40849461333
"182","Vanuatu","VUT",773502896,270402,2.17,"VUT","East Asia & Pacific",26.441,29.41,0.270402,2860.56647510004
"183","Samoa","WSM",786356315,195125,0.7,"WSM","East Asia & Pacific",18.955,94.29,0.195125,4030.0131454196
"184","Kosovo","XKX",6649888889,1816200,0.8,"XKX","Europe & Central Asia",85.43,34.5,1.8162,3661.42984748376
"185","Yemen, Rep.","YEM",27317605346,27584213,2.45,"YEM","Middle East & North Africa",35.187,54,27.584213,990.334773952043
"186","South Africa","ZAF",2.95e+11,55908865,1.62,"ZAF","Sub-Saharan Africa",65.295,1.88,55.908865,5276.44408449358
"187","Zambia","ZMB",21063989683,16591390,3,"ZMB","Sub-Saharan Africa",41.379,25.51,16.59139,1269.57353681638
"188","Zimbabwe","ZWE",16619960402,16150362,2.34,"ZWE","Sub-Saharan Africa",32.277,23.12,16.150362,1029.07664868441
